,uuid,age,gender,dem_has_children,age_group,country_code,rural,dem_education_level,dem_full_time_job,normalized_job_code,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst
0,f6e7ee00-deac-0133-4de8-0a81e8b09a82,61,Male,no,40_65,AT,countryside,no education,no,,I know something about it,I would not vote,None of the above,None of the above,None of the above
1,54f0f1c0-dda1-0133-a559-0a81e8b09a82,57,Male,yes,40_65,AT,urban,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working
2,83127080-da3d-0133-c74f-0a81e8b09a82,32,Male,no,26_39,AT,city,no education,no,,I have heard just a little about it,I would not vote, gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
3,15626d40-db13-0133-ea5c-0a81e8b09a82,45,Male,yes,40_65,AT,country,high,yes,049a3f3a2b5f85cb2971ba77ad66e10c,I have heard just a little about it,I would probably vote for it, work less,It reduces anxiety about financing basic needs,None of the above
4,24954a70-db98-0133-4a64-0a81e8b09a82,41,Female,yes,40_65,AT,city,high,yes,f4b2fb1aa40f661488e2782b6d57ad2f,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
5,28583060-dbe2-0133-ff9c-0a81e8b09a82,26,Female,no,26_39,AT,countryside,high,yes,27af8700f5577cec835acee2cb90a2ff,I understand it fully,I would vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
6,b50dbb80-da53-0133-8956-0a81e8b09a82,26,Female,no,26_39,AT,urban,medium,no,,I know something about it,I would probably vote for it, work as a freelancer,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
7,dd743bb0-d9a5-0133-53b2-0a81e8b09a82,47,Male,no,40_65,AT,urban,medium,yes,c1b670eba9ccb65e7c99f7da116d5b9c,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
8,4fde2370-da48-0133-3a42-0a81e8b09a82,34,Female,no,26_39,AT,city,medium,yes,d71c4164c99a5f9bca773e755a72f40f,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
9,9949c4c0-da5f-0133-c832-0a81e8b09a82,22,Female,yes,14_25,AT,urban,no education,no,,I understand it fully,I would vote for it, do more volunteering work,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
