Country,Job Title,Age,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),35.5,2,0.003092
Austria,Automatic Data Processing Planner,52.5,2,0.003092
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),37.0,2,0.003092
Austria,Clinical Data Specialist,39.0,1,0.001546
Austria,Computer or Data Processing Systems Consultant,44.666666666666664,3,0.004638
Austria,Crime Data Specialist,49.0,1,0.001546
Austria,Data Administrator,36.0,1,0.001546
Austria,Data Base Design Analyst,35.0,2,0.003092
Austria,Data Coder Operator,48.0,1,0.001546
Austria,Data Communications Software Consultant,35.5,2,0.003092
Austria,Data Coordinator,45.5,2,0.003092
Austria,Data Entry Representative,35.0,1,0.001546
Austria,Data Entry Specialist,26.0,1,0.001546
Austria,Data Keyer,52.0,1,0.001546
Austria,Data Management Associate,40.0,1,0.001546
Austria,Data Management Information Technology Specialist,28.0,1,0.001546
Austria,Data Officer,34.0,2,0.003092
Austria,Data Processing Auditor,20.666666666666668,3,0.004638
Austria,Data Processing Systems Project Planner,55.0,1,0.001546
Austria,Data Security Analyst,35.0,2,0.003092
Austria,Data Systems Manager,34.0,1,0.001546
Austria,Data Warehouse Developer,49.0,1,0.001546
Austria,Data Warehousing Engineer,31.4,5,0.007730000000000001
Austria,Data Warehousing Manager,28.0,1,0.001546
Austria,Database Administration Associate,26.0,1,0.001546
Austria,Database Administration Manager,27.0,1,0.001546
Austria,Database Architect,47.0,1,0.001546
Austria,Database Coordinator,51.0,1,0.001546
Austria,Database Design Analyst,27.0,1,0.001546
Austria,Database Developer,41.0,1,0.001546
Austria,Database Development and Administration Project Manager,25.0,1,0.001546
Austria,Database Engineer,28.0,2,0.003092
Austria,Database Manager,23.0,1,0.001546
Austria,Database Marketing Analyst,34.0,1,0.001546
Austria,Database Modeler,29.0,1,0.001546
Austria,Database Security Administrator,35.333333333333336,3,0.004638
Austria,Database Security Expert,50.0,1,0.001546
Austria,Database Software Technician,38.0,2,0.003092
Austria,Databases Computer Consultant,30.0,1,0.001546
Austria,Director of Data Operations,43.0,1,0.001546
Austria,Electronic Data Processing Auditor (EDP Auditor),29.0,1,0.001546
Austria,Field Artillery Automated Tactical Data System Specialist,34.0,1,0.001546
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),33.0,1,0.001546
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),46.0,1,0.001546
Austria,Geographic Information Systems Data Manager (GIS Data Manager),47.0,1,0.001546
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),26.0,1,0.001546
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),33.75,4,0.006184
Austria,Internet Database Specialist,20.0,1,0.001546
Austria,Maintenance Data Analyst,45.0,1,0.001546
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",23.5,2,0.003092
Austria,No job,30.406779661016948,59,0.09121400000000007
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),48.0,1,0.002081
Belgium,Automatic Data Processing Planner,43.0,2,0.004162
Belgium,Automatic Data Processing Planner (ADP Planner),33.0,1,0.002081
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),53.5,2,0.004162
Belgium,Clinical Data Associate,39.333333333333336,3,0.006243
Belgium,Clinical Data Coordinator,53.0,1,0.002081
Belgium,Crime Data Specialist,25.0,1,0.002081
Belgium,Data Administrator,34.0,3,0.006243
Belgium,Data Architect,38.0,3,0.006243
Belgium,Data Base Design Analyst,42.0,1,0.002081
Belgium,Data Capture Specialist,52.0,1,0.002081
Belgium,Data Collector,31.0,1,0.002081
Belgium,Data Communications Analyst,47.0,1,0.002081
Belgium,Data Coordinator,40.0,1,0.002081
Belgium,Data Entry Associate,15.0,1,0.002081
Belgium,Data Entry Representative,54.0,1,0.002081
Belgium,Data Entry Specialist,38.0,1,0.002081
Belgium,Data Management Associate,25.0,1,0.002081
Belgium,Data Management Information Technology Specialist,40.0,2,0.004162
Belgium,Data Manager,44.0,1,0.002081
Belgium,Data Miner,24.0,1,0.002081
Belgium,Data Officer,31.75,4,0.008324
Belgium,Data Processing Consultant,42.0,1,0.002081
Belgium,Data Processing Manager,24.0,1,0.002081
Belgium,Data Processing Systems Analyst,33.5,2,0.004162
Belgium,Data Processing Systems Project Planner,39.0,2,0.004162
Belgium,Data Recovery Planner,34.0,1,0.002081
Belgium,Data Scientist,33.5,4,0.008324
Belgium,Data Security Administrator,35.666666666666664,3,0.006243
Belgium,Data Security Analyst,45.0,2,0.004162
Belgium,Data Storage Specialist,46.0,1,0.002081
Belgium,Data Systems Manager,42.0,1,0.002081
Belgium,Data Warehouse Analyst,45.0,1,0.002081
Belgium,Data Warehouse Developer,42.0,1,0.002081
Belgium,Data Warehouse Specialist,36.0,2,0.004162
Belgium,Data Warehousing Manager,46.5,2,0.004162
Belgium,Database Administration Associate,49.5,2,0.004162
Belgium,Database Architect,28.0,1,0.002081
Belgium,Database Consultant,39.0,2,0.004162
Belgium,Database Coordinator,38.0,1,0.002081
Belgium,Database Design Analyst,42.0,1,0.002081
Belgium,Database Designer,29.5,2,0.004162
Belgium,Database Development and Administration Project Manager,43.0,1,0.002081
Belgium,Database Engineer,45.333333333333336,3,0.006243
Belgium,Database Management System Specialist (DBMS Specialist),42.0,2,0.004162
Belgium,Database Manager,32.666666666666664,3,0.006243
Belgium,Database Marketing Analyst,35.5,2,0.004162
Belgium,Database Security Administrator,22.0,1,0.002081
Belgium,Database Software Technician,37.0,1,0.002081
Belgium,Database Tester,37.5,2,0.004162
Belgium,Director of Data Operations,34.666666666666664,3,0.006243
Belgium,Electronic Data Processing Auditor (EDP Auditor),52.0,1,0.002081
Belgium,Field Artillery Automated Tactical Data System Specialist,48.0,1,0.002081
Belgium,Flight Data Technician,30.0,1,0.002081
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),40.0,3,0.006243
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),37.0,2,0.004162
Belgium,Head of Information Systems and Data Processing,40.0,1,0.002081
Belgium,Health Data Analyst,35.0,3,0.006243
Belgium,Log Data Technician,45.0,1,0.002081
Belgium,Marketing Database Analyst,44.0,1,0.002081
Belgium,Medical Data Analyst,47.0,1,0.002081
Belgium,No job,33.276315789473685,76,0.158156
Belgium,Oracle Database Administrator (Oracle DBA),48.0,1,0.002081
Belgium,Reference Data Expert,36.0,1,0.002081
Belgium,SQL Database Administrator,40.0,1,0.002081
Bulgaria,Automatic Data Processing Planner,52.0,1,0.001639
Bulgaria,Automatic Data Processing Planner (ADP Planner),60.0,1,0.001639
Bulgaria,Business Database Analyst,40.0,1,0.001639
Bulgaria,Clinical Data Management Associate Director,41.0,1,0.001639
Bulgaria,Clinical Data Manager,40.0,1,0.001639
Bulgaria,Computer or Data Processing Systems Consultant,46.0,1,0.001639
Bulgaria,Data Abstractor,24.0,1,0.001639
Bulgaria,Data Administrator,23.0,2,0.003278
Bulgaria,Data Architect,33.0,2,0.003278
Bulgaria,Data Base Design Analyst,43.0,1,0.001639
Bulgaria,Data Center Manager,46.0,1,0.001639
Bulgaria,Data Center Operator,25.0,1,0.001639
Bulgaria,Data Communications Analyst,39.0,1,0.001639
Bulgaria,Data Compiler,26.0,1,0.001639
Bulgaria,Data Control Assistant,24.0,1,0.001639
Bulgaria,Data Coordinator,38.0,1,0.001639
Bulgaria,Data Management Associate,27.0,1,0.001639
Bulgaria,Data Management Information Technology Specialist,25.0,1,0.001639
Bulgaria,Data Miner,34.5,2,0.003278
Bulgaria,Data Modeling Specialist,48.0,1,0.001639
Bulgaria,Data Officer,45.0,1,0.001639
Bulgaria,Data Operations Director,58.0,1,0.001639
Bulgaria,Data Processing Auditor,49.5,2,0.003278
Bulgaria,Data Processing Manager,54.0,3,0.004917
Bulgaria,Data Processing Systems Analyst,36.5,2,0.003278
Bulgaria,Data Recovery Planner,48.0,1,0.001639
Bulgaria,Data Reduction Technician,35.0,1,0.001639
Bulgaria,Data Security Administrator,40.0,1,0.001639
Bulgaria,Data Security Analyst,23.0,1,0.001639
Bulgaria,Data Storage Specialist,47.0,1,0.001639
Bulgaria,Data Systems Manager,31.0,1,0.001639
Bulgaria,Data Warehouse Architect,29.666666666666668,3,0.004917
Bulgaria,Data Warehouse Developer,43.5,2,0.003278
Bulgaria,Data Warehouse Specialist,33.2,5,0.008195000000000001
Bulgaria,Data Warehousing Engineer,41.0,1,0.001639
Bulgaria,Data Warehousing Specialist,43.0,2,0.003278
Bulgaria,Database Administration Associate,30.5,2,0.003278
Bulgaria,Database Administration Manager,47.0,1,0.001639
Bulgaria,Database Analyst,32.0,1,0.001639
Bulgaria,Database Architect,56.0,1,0.001639
Bulgaria,Database Consultant,53.0,1,0.001639
Bulgaria,Database Coordinator,40.0,1,0.001639
Bulgaria,Database Design Analyst,19.0,1,0.001639
Bulgaria,Database Designer,31.0,2,0.003278
Bulgaria,Database Development Project Manager,25.0,1,0.001639
Bulgaria,Database Modeler,39.5,2,0.003278
Bulgaria,Database Security Administrator,33.0,1,0.001639
Bulgaria,Database Security Expert,36.0,1,0.001639
Bulgaria,Database Software Technician,43.5,2,0.003278
Bulgaria,Database Tester,36.0,2,0.003278
Bulgaria,Director of Data Operations,37.0,1,0.001639
Bulgaria,Electronic Data Processing Auditor (EDP Auditor),29.0,1,0.001639
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",32.333333333333336,3,0.004917
Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),42.0,1,0.001639
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),25.0,1,0.001639
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),38.5,4,0.006556
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),54.5,2,0.003278
Bulgaria,Head of Information Systems and Data Processing,50.666666666666664,3,0.004917
Bulgaria,Internet Database Specialist,42.75,4,0.006556
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",43.5,2,0.003278
Bulgaria,No job,38.0,45,0.07375500000000006
Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),43.0,1,0.001639
Bulgaria,SQL Database Administrator,35.0,2,0.003278
Bulgaria,Survey Data Technician,39.0,1,0.001639
Croatia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),48.0,1,0.001011
Croatia,Clinical Data Abstractor,33.0,1,0.001011
Croatia,Clinical Data Management Associate Director,40.0,1,0.001011
Croatia,Computer or Data Processing Systems Consultant,41.5,2,0.002022
Croatia,Data Administrator,29.0,1,0.001011
Croatia,Data Analysis Assistant,35.0,1,0.001011
Croatia,Data Coordinator,54.0,1,0.001011
Croatia,Data Entry Associate,61.0,1,0.001011
Croatia,Data Management Associate,34.0,1,0.001011
Croatia,Data Management Information Technology Specialist,46.0,1,0.001011
Croatia,Data Modeling Specialist,40.0,1,0.001011
Croatia,Data Officer,44.0,1,0.001011
Croatia,Data Operations Director,47.0,1,0.001011
Croatia,Data Processing Manager,26.0,1,0.001011
Croatia,Data Processing Systems Project Planner,43.0,1,0.001011
Croatia,Data Security Administrator,32.0,2,0.002022
Croatia,Data Storage Specialist,38.5,2,0.002022
Croatia,Data Systems Manager,45.5,2,0.002022
Croatia,Data Warehouse Developer,28.0,1,0.001011
Croatia,Data Warehouse Specialist,41.0,1,0.001011
Croatia,Database Coordinator,42.0,1,0.001011
