,Country,Job Title,Age,Quantity,Percentage
2212,Spain,Clinical Data Management Manager (CDM Manager),59,1,0.0117%
2213,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),41,1,0.0117%
2214,Spain,Database Security Expert,52,1,0.0117%
2215,Spain,Weight in Motion Field Data Collection Technician,45,1,0.0117%
2216,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),50,1,0.0117%
2217,Spain,Data Entry Representative,65,1,0.0117%
2218,Spain,,24,1,0.0117%
2219,Spain,Electronic Data Interchange System Developer (EDI System Developer),35,1,0.0117%
2220,Spain,,29,1,0.0117%
2221,Spain,Data Sciences Director,54,1,0.0117%
2222,Spain,Data Miner,25,1,0.0117%
2223,Spain,,32,1,0.0117%
2224,Spain,Data Scientist,51,1,0.0117%
2225,Spain,Automatic Data Processing Planner,31,1,0.0117%
2226,Spain,Automatic Data Processing Planner,49,1,0.0117%
2227,Spain,,18,1,0.0117%
2228,Spain,Automatic Data Processing Planner,39,1,0.0117%
2229,Spain,Data Communications Software Consultant,47,1,0.0117%
2230,Spain,,44,1,0.0117%
2231,Spain,Data Communications Analyst,46,1,0.0117%
2232,Spain,,54,1,0.0117%
2233,Spain,Data Scientist,47,1,0.0117%
2234,Spain,Data Processing Auditor,45,1,0.0117%
2235,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),50,1,0.0117%
2236,Spain,,23,1,0.0117%
2237,Spain,,27,1,0.0117%
2238,Spain,Data Processing Consultant,29,1,0.0117%
2239,Spain,,49,1,0.0117%
2240,Spain,,43,1,0.0117%
2241,Spain,Data Base Design Analyst,20,1,0.0117%
2242,Spain,,47,1,0.0117%
2243,Spain,Electronic Data Processing Auditor (EDP Auditor),40,1,0.0117%
2244,Spain,,34,1,0.0117%
2245,Spain,,58,1,0.0117%
2246,Spain,Database Coordinator,34,1,0.0117%
2247,Spain,,48,1,0.0117%
2248,Spain,Data Warehouse Analyst,30,1,0.0117%
2249,Spain,Database Management System Specialist (DBMS Specialist),35,1,0.0117%
2250,Spain,,42,1,0.0117%
2251,Spain,Databases Software Consultant,40,1,0.0117%
2252,Spain,Computer or Data Processing Systems Consultant,20,1,0.0117%
2253,Spain,,41,1,0.0117%
2254,Spain,Data Management Manager,43,1,0.0117%
2255,Spain,,19,1,0.0117%
2256,Spain,,21,1,0.0117%
2257,Spain,Geographic Information Systems Data Manager (GIS Data Manager),42,1,0.0117%
2258,Spain,Data Management Associate,35,1,0.0117%
2259,Spain,SQL Database Administrator,56,1,0.0117%
2260,Spain,Database Security Administrator,32,1,0.0117%
2261,Spain,,38,1,0.0117%
2262,Spain,Internet Database Specialist,38,1,0.0117%
2263,Spain,,30,1,0.0117%
2264,Spain,Database Consultant,45,1,0.0117%
2265,Spain,Database Engineer,28,1,0.0117%
2266,Spain,Database Engineer,59,1,0.0117%
2267,Spain,Database Modeler,49,1,0.0117%
2268,Spain,SQL Database Administrator,48,1,0.0117%
2269,Spain,Scientific Database Curator,42,1,0.0117%
2270,Spain,Data Collector,25,1,0.0117%
2271,Spain,Director of Data Operations,43,1,0.0117%
2272,Spain,,23,1,0.0117%
2273,Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),48,1,0.0117%
2274,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),28,1,0.0117%
2275,Spain,,40,1,0.0117%
2276,Spain,Data Compiler,39,1,0.0117%
2277,Spain,Database Engineer,59,1,0.0117%
2278,Spain,Reference Data Expert,33,1,0.0117%
2279,Spain,Database Architect,26,1,0.0117%
2280,Spain,Data Security Analyst,21,1,0.0117%
2281,Spain,Survey Data Technician,19,1,0.0117%
2282,Spain,Data Systems Manager,40,1,0.0117%
2283,Spain,Data Warehousing Manager,29,1,0.0117%
2284,Spain,Database Architect,41,1,0.0117%
2285,Spain,,25,1,0.0117%
2286,Spain,,39,1,0.0117%
2287,Spain,Database Development and Administration Project Manager,25,1,0.0117%
2288,Spain,,46,1,0.0117%
2289,Spain,,49,1,0.0117%
2290,Spain,Geographic Information Systems Data Manager (GIS Data Manager),59,1,0.0117%
2291,Spain,,48,1,0.0117%
2292,Spain,,35,1,0.0117%
2293,Spain,SQL Database Administrator,48,1,0.0117%
2294,Spain,,19,1,0.0117%
2295,Spain,,19,1,0.0117%
2296,Spain,Director of Data Operations,30,1,0.0117%
2297,Spain,Database Modeler,40,1,0.0117%
2298,Spain,Database Development and Administration Project Manager,36,1,0.0117%
2299,Spain,Database Engineer,45,1,0.0117%
2300,Spain,Data Processing Consultant,36,1,0.0117%
2301,Spain,SQL Database Administrator,44,1,0.0117%
2302,Spain,,21,1,0.0117%
2303,Spain,,41,1,0.0117%
2304,Spain,Data Coordinator,49,1,0.0117%
2305,Spain,Data Storage Specialist,39,1,0.0117%
2306,Spain,,29,1,0.0117%
2307,Spain,Database Administration Associate,52,1,0.0117%
2308,Spain,,41,1,0.0117%
2309,Spain,Data Architect,22,1,0.0117%
